Date,Open,High,Low,Close
2021-05-07,6.717,6.717,6.717,6.717
2021-05-06,6.693,6.693,6.693,6.693
2021-05-05,6.73,6.73,6.73,6.73
2021-05-04,6.752,6.752,6.752,6.752
2021-05-03,6.73,6.73,6.73,6.73
2021-04-30,6.747,6.747,6.747,6.747
2021-04-29,6.751,6.751,6.751,6.751
2021-04-28,6.752,6.752,6.752,6.752
2021-04-27,6.746,6.746,6.746,6.746
2021-04-26,6.747,6.747,6.747,6.747
2021-04-23,6.756,6.756,6.756,6.756
2021-04-22,6.821,6.821,6.791,6.791
2021-04-20,6.808,6.808,6.808,6.808
2021-04-19,6.837,6.837,6.818,6.818
2021-04-16,6.897,6.897,6.897,6.897
2021-04-15,6.775,6.775,6.775,6.775
2021-04-12,6.808,6.808,6.808,6.808
2021-04-09,6.753,6.778,6.753,6.778
2021-04-08,6.769,6.769,6.753,6.753
2021-04-07,6.771,6.776,6.754,6.754
2021-04-06,6.838,6.838,6.76,6.76
2021-04-05,6.759,6.759,6.759,6.759
2021-03-31,6.797,6.797,6.797,6.797
2021-03-30,6.792,6.792,6.792,6.792
2021-03-26,6.826,6.826,6.826,6.826
2021-03-25,6.838,6.838,6.82,6.836
2021-03-24,6.83,6.83,6.796,6.796
2021-03-23,6.838,6.838,6.827,6.83
2021-03-22,6.916,6.916,6.838,6.838
2021-03-19,6.9,6.9,6.9,6.9
2021-03-18,6.97,6.97,6.97,6.97
2021-03-17,7.003,7.003,7.003,7.003
2021-03-16,6.987,6.987,6.987,6.987
2021-03-15,7.008,7.008,7.008,7.008
2021-03-12,7.015,7.015,7.015,7.015
2021-03-10,7.002,7.002,7.002,7.002
2021-03-09,6.99,6.99,6.99,6.99
2021-03-08,6.968,6.968,6.968,6.968
2021-03-05,6.952,6.952,6.952,6.952
2021-03-04,6.904,6.904,6.904,6.904
2021-03-03,6.916,6.916,6.896,6.896
2021-03-02,6.881,6.881,6.881,6.881
2021-03-01,6.906,6.906,6.906,6.906
2021-02-26,6.987,6.987,6.987,6.987
2021-02-25,6.873,6.873,6.873,6.873
2021-02-24,6.867,6.867,6.867,6.867
2021-02-23,6.905,6.905,6.905,6.905
2021-02-22,6.92,6.92,6.92,6.92
2021-02-18,6.867,6.867,6.867,6.867
2021-02-17,6.81,6.81,6.81,6.81
2021-02-16,6.789,6.789,6.789,6.789
2021-02-15,6.801,6.801,6.801,6.801
2021-02-12,6.753,6.753,6.753,6.753
2021-02-11,6.729,6.729,6.729,6.729
2021-02-10,6.764,6.764,6.764,6.764
2021-02-09,6.812,6.812,6.812,6.812
2021-02-08,6.767,6.767,6.767,6.767
2021-02-05,6.773,6.773,6.773,6.773
2021-02-04,6.734,6.734,6.734,6.734
2021-02-03,6.766,6.766,6.766,6.766
2021-02-02,6.829,6.829,6.829,6.829
2021-02-01,6.733,6.733,6.733,6.733
2021-01-29,6.542,6.542,6.542,6.542
2021-01-28,6.527,6.527,6.527,6.527
2021-01-27,6.546,6.554,6.546,6.546
2021-01-25,6.546,6.551,6.546,6.551
2021-01-22,6.541,6.541,6.541,6.541
2021-01-21,6.517,6.517,6.517,6.517
2021-01-20,6.51,6.51,6.51,6.51
2021-01-19,6.519,6.519,6.519,6.519
2021-01-18,6.529,6.529,6.529,6.529
2021-01-15,6.584,6.584,6.584,6.584
2021-01-14,6.524,6.524,6.524,6.524
2021-01-13,6.53,6.53,6.53,6.53
2021-01-12,6.525,6.526,6.525,6.525
2021-01-11,6.542,6.542,6.542,6.542
2021-01-08,6.544,6.544,6.513,6.513
2021-01-07,6.517,6.517,6.517,6.517
2021-01-06,6.532,6.532,6.532,6.532
2021-01-05,6.501,6.501,6.501,6.501
2021-01-04,6.55,6.55,6.537,6.537
2021-01-01,6.55,6.55,6.55,6.55
2020-12-31,6.606,6.606,6.606,6.606
2020-12-30,6.614,6.614,6.614,6.614
2020-12-29,6.624,6.624,6.624,6.624
2020-12-28,6.623,6.623,6.623,6.623
2020-12-24,6.582,6.582,6.567,6.567
2020-12-23,6.582,6.636,6.582,6.636
2020-12-22,6.649,6.649,6.649,6.649
2020-12-21,6.648,6.648,6.648,6.648
2020-12-18,6.643,6.643,6.643,6.643
2020-12-17,6.635,6.635,6.635,6.635
2020-12-16,6.634,6.634,6.634,6.634
2020-12-15,6.633,6.633,6.633,6.633
2020-12-14,6.632,6.632,6.632,6.632
2020-12-11,6.634,6.634,6.634,6.634
2020-12-10,6.617,6.617,6.617,6.617
2020-12-09,6.623,6.623,6.623,6.623
2020-12-08,6.639,6.639,6.639,6.639
2020-12-07,6.624,6.624,6.624,6.624
2020-12-04,6.605,6.605,6.605,6.605
2020-12-03,6.617,6.617,6.617,6.617
2020-12-02,6.62,6.62,6.62,6.62
2020-12-01,6.63,6.63,6.63,6.63
2020-11-27,6.591,6.591,6.591,6.591
2020-11-26,6.791,6.791,6.791,6.791
2020-11-25,6.803,6.803,6.803,6.803
2020-11-24,6.699,6.814,6.676,6.814
2020-11-23,6.676,6.835,6.676,6.835
2020-11-20,6.714,6.825,6.676,6.825
2020-11-19,6.695,6.819,6.688,6.819
2020-11-18,6.82,6.82,6.82,6.82
2020-11-17,6.837,6.837,6.837,6.837
2020-11-13,6.838,6.838,6.838,6.838
2020-11-12,6.855,6.855,6.855,6.855
2020-11-11,6.71,6.858,6.71,6.858
2020-11-10,6.75,6.75,6.75,6.75
2020-11-09,6.833,6.833,6.833,6.833
2020-11-06,6.831,6.831,6.831,6.831
2020-11-05,6.839,6.839,6.839,6.839
2020-11-04,6.865,6.865,6.865,6.865
2020-11-03,6.863,6.863,6.863,6.863
2020-11-02,6.707,6.849,6.707,6.849
2020-10-29,6.67,6.67,6.67,6.67
2020-10-28,6.757,6.757,6.757,6.757
2020-10-27,6.7,6.7,6.659,6.66
2020-10-26,6.715,6.715,6.657,6.657
2020-10-23,6.882,6.882,6.882,6.882
